index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
99,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,550 [<500–770],550.00000,,770.0,,,
100,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,640 [<500–930],640.00000,,930.0,,,
101,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,790 [<500–1200],790.00000,,1200.0,,,
102,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,930 [530–1300],930.00000,530.0,1300.0,,,
103,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,1100 [630–1600],1100.00000,630.0,1600.0,,,
104,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,1300 [760–1800],1300.00000,760.0,1800.0,,,
105,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,1500 [930–2200],1500.00000,930.0,2200.0,,,
106,HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2922,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,1600 [1000–2400],1600.00000,1000.0,2400.0,,,
107,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,12,12.00000,,,,,
108,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,18,18.00000,,,,,
109,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,19,19.00000,,,,,
110,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,14,14.00000,,,,,
111,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,23,23.00000,,,,,
112,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,32,32.00000,,,,,
113,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,43,43.00000,,,,,
114,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,53,53.00000,,,,,
115,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,67,67.00000,,,,,
116,HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals (excluding single dose Nevirapine)  for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2936,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,98,98.00000,,,,,
117,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,14 [12–18],14.00000,12.0,18.0,,,
118,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,16 [13–20],16.00000,13.0,20.0,,,
119,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,14 [12–17],14.00000,12.0,17.0,,,
120,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,8 [7–10],8.00000,7.0,10.0,,,
121,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,12 [9–14],12.00000,9.0,14.0,,,
122,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,14 [11–17],14.00000,11.0,17.0,,,
123,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,16 [13–20],16.00000,13.0,20.0,,,
124,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,18 [14–22],18.00000,14.0,22.0,,,
125,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,20 [16–24],20.00000,16.0,24.0,,,
126,HIV_0000000020,Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4754,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,25 [20–31],25.00000,20.0,31.0,,,
127,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
128,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
129,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
130,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
131,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
132,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
133,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
134,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,6 [5–7],6.00000,5.0,7.0,,,
135,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,23 [19–28],23.00000,19.0,28.0,,,
136,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,25 [20–30],25.00000,20.0,30.0,,,
137,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,23 [19–27],23.00000,19.0,27.0,,,
138,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,18 [14–21],18.00000,14.0,21.0,,,
139,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,26 [21–31],26.00000,21.0,31.0,,,
140,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,14 [11–17],14.00000,11.0,17.0,,,
141,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,13 [10–15],13.00000,10.0,15.0,,,
142,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,17 [14–20],17.00000,14.0,20.0,,,
143,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,15 [12–18],15.00000,12.0,18.0,,,
144,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,20 [16–24],20.00000,16.0,24.0,,,
145,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,21 [17–25],21.00000,17.0,25.0,,,
146,HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2966,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,25 [20–31],25.00000,20.0,31.0,,,
147,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
148,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
149,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
150,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
151,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
152,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
153,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,0,0.00000,,,,,
154,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,3,3.00000,,,,,
155,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,13,13.00000,,,,,
156,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,17,17.00000,,,,,
157,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,20,20.00000,,,,,
158,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,19,19.00000,,,,,
159,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,33,33.00000,,,,,
160,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,22,22.00000,,,,,
161,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,24,24.00000,,,,,
162,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,40,40.00000,,,,,
163,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,44,44.00000,,,,,
164,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,69,69.00000,,,,,
165,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,85,85.00000,,,,,
166,HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2924,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,122,122.00000,,,,,
167,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
168,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
169,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
170,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
171,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
172,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
173,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
174,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
175,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
176,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
177,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
178,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
179,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
180,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
181,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–<0.1],,,,,,
182,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,<0.1 [<0.1–0.1],,,0.1,,,
183,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,0.1 [<0.1–0.1],0.10000,,0.1,,,
184,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,0.1 [<0.1–0.2],0.10000,,0.2,,,
185,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,0.1 [0.1–0.2],0.10000,0.1,0.2,,,
186,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,0.2 [0.1–0.2],0.20000,0.1,0.2,,,
187,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
188,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
189,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
190,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
191,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
192,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,1 [1–2],1.00000,1.0,2.0,,,
193,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,4 [3–5],4.00000,3.0,5.0,,,
194,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,5 [5–6],5.00000,5.0,6.0,,,
195,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,7 [6–8],7.00000,6.0,8.0,,,
