index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
1091,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,15.1 [10.1-20.9],15.10000,10.1,20.9,,,
1092,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,14.8 [9.9-20.5],14.80000,9.9,20.5,,,
1093,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,14.6 [9.7-20.2],14.60000,9.7,20.2,,,
1094,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,14.3 [9.6-19.9],14.30000,9.6,19.9,,,
1095,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4804,PUBLISHED,Published,,2016.0,2016,,WPR,Western Pacific,,PHL,2016,2016,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,10.8 [5.9-16.8],10.80000,5.9,16.8,,,
1096,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,19.8 [18.6-20.9],19.80000,18.6,20.9,,,
1097,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.2 [20.8-21.6],21.20000,20.8,21.6,,,
1098,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.3 [21.0-21.7],21.30000,21.0,21.7,,,
1099,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.5 [21.1-21.8],21.50000,21.1,21.8,,,
1100,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.6 [21.2-21.9],21.60000,21.2,21.9,,,
1101,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.5 [22.2-22.8],22.50000,22.2,22.8,,,
1102,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.5 [22.2-22.8],22.50000,22.2,22.8,,,
1103,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.6 [22.3-22.9],22.60000,22.3,22.9,,,
1104,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.6 [22.3-23.0],22.60000,22.3,23.0,,,
1105,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,19.3 [17.9-20.6],19.30000,17.9,20.6,,,
1106,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.2 [20.7-21.6],21.20000,20.7,21.6,,,
1107,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.3 [20.9-21.7],21.30000,20.9,21.7,,,
1108,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.5 [21.0-21.9],21.50000,21.0,21.9,,,
1109,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.6 [21.2-22.0],21.60000,21.2,22.0,,,
1110,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.7 [22.3-23.1],22.70000,22.3,23.1,,,
1111,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.8 [22.3-23.2],22.80000,22.3,23.2,,,
1112,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.8 [22.3-23.3],22.80000,22.3,23.3,,,
1113,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.9 [22.4-23.4],22.90000,22.4,23.4,,,
1114,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,20.2 [18.4-22.1],20.20000,18.4,22.1,,,
1115,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.3 [20.6-22.0],21.30000,20.6,22.0,,,
1116,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.4 [20.7-22.0],21.40000,20.7,22.0,,,
1117,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.5 [20.9-22.1],21.50000,20.9,22.1,,,
1118,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.5 [21.0-22.1],21.50000,21.0,22.1,,,
1119,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [21.9-22.6],22.30000,21.9,22.6,,,
1120,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [21.9-22.7],22.30000,21.9,22.7,,,
1121,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [21.9-22.7],22.30000,21.9,22.7,,,
1122,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.4 [22.0-22.8],22.40000,22.0,22.8,,,
1123,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,19.8 [18.7-20.9],19.80000,18.7,20.9,,,
1124,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.2 [20.8-21.6],21.20000,20.8,21.6,,,
1125,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.3 [21.0-21.7],21.30000,21.0,21.7,,,
1126,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.4 [21.1-21.8],21.40000,21.1,21.8,,,
1127,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,21.5 [21.2-21.9],21.50000,21.2,21.9,,,
1128,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.5 [22.2-22.7],22.50000,22.2,22.7,,,
1129,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.5 [22.2-22.8],22.50000,22.2,22.8,,,
1130,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.6 [22.3-22.8],22.60000,22.3,22.8,,,
1131,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,22.6 [22.3-22.9],22.60000,22.3,22.9,,,
1132,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,19.4 [18.2-20.6],19.40000,18.2,20.6,,,
1133,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.1 [20.7-21.6],21.10000,20.7,21.6,,,
1134,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.3 [20.9-21.7],21.30000,20.9,21.7,,,
1135,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.4 [21.0-21.8],21.40000,21.0,21.8,,,
1136,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.6 [21.2-21.9],21.60000,21.2,21.9,,,
1137,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.7 [22.3-23.1],22.70000,22.3,23.1,,,
1138,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.7 [22.3-23.1],22.70000,22.3,23.1,,,
1139,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.8 [22.3-23.2],22.80000,22.3,23.2,,,
1140,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.8 [22.3-23.3],22.80000,22.3,23.3,,,
1141,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1975.0,1975,,WPR,Western Pacific,,PHL,1975,1975,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,20.2 [18.5-22.0],20.20000,18.5,22.0,,,
1142,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.3 [20.6-22.0],21.30000,20.6,22.0,,,
1143,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989.0,1989,,WPR,Western Pacific,,PHL,1989,1989,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.4 [20.8-22.0],21.40000,20.8,22.0,,,
1144,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,PHL,1990,1990,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.5 [20.9-22.0],21.50000,20.9,22.0,,,
1145,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991.0,1991,,WPR,Western Pacific,,PHL,1991,1991,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,21.5 [21.0-22.1],21.50000,21.0,22.1,,,
1146,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [21.9-22.6],22.30000,21.9,22.6,,,
1147,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [21.9-22.7],22.30000,21.9,22.7,,,
1148,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.3 [22.0-22.7],22.30000,22.0,22.7,,,
1149,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.4 [22.0-22.8],22.40000,22.0,22.8,,,
1150,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,10.2 [6.8-14.4],10.20000,6.8,14.4,,,
1151,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1986.0,1986,,WPR,Western Pacific,,PHL,1986,1986,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,10.7 [7.2-14.8],10.70000,7.2,14.8,,,
1152,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1987.0,1987,,WPR,Western Pacific,,PHL,1987,1987,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,11.1 [7.6-15.3],11.10000,7.6,15.3,,,
1153,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,11.6 [8.1-15.8],11.60000,8.1,15.8,,,
1154,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,18.3 [14.5-22.7],18.30000,14.5,22.7,,,
1155,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,18.8 [15.0-23.2],18.80000,15.0,23.2,,,
1156,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2004.0,2004,,WPR,Western Pacific,,PHL,2004,2004,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,19.3 [15.4-23.7],19.30000,15.4,23.7,,,
1157,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,19.8 [15.9-24.3],19.80000,15.9,24.3,,,
1158,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,14.2 [11.1-17.6],14.20000,11.1,17.6,,,
1159,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1986.0,1986,,WPR,Western Pacific,,PHL,1986,1986,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,14.7 [11.6-18.1],14.70000,11.6,18.1,,,
1160,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1987.0,1987,,WPR,Western Pacific,,PHL,1987,1987,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,15.3 [12.2-18.6],15.30000,12.2,18.6,,,
1161,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,15.8 [12.7-19.3],15.80000,12.7,19.3,,,
1162,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.5 [19.2-25.9],22.50000,19.2,25.9,,,
1163,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2390,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.9 [19.7-26.3],22.90000,19.7,26.3,,,
