index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
94,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,,1998,1998,,,PHL,Philippines,,TOTL,TotalTotalTotal,,BTSX,Both sexes,,TOTL,TotalTotalTotal,,TOTL,TotalTotalTotal,,58,58.00000,,,,,DHS 1998
95,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,,,,URB,Urban,,,,,63,63.00000,,,,,DHS 2003
96,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,,,,RUR,Rural,,,,,49,49.00000,,,,,DHS 2003
97,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,TOTL,TotalTotalTotal,,BTSX,Both sexes,,TOTL,TotalTotalTotal,,TOTL,TotalTotalTotal,,55,55.00000,,,,,DHS 2003
98,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,54,54.00000,,,,,DHS 2003
99,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,55,55.00000,,,,,DHS 2003
100,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,,,,URB,Urban,,,,,54,54.00000,,,,,DHS 2008
101,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,,,,RUR,Rural,,,,,47,47.00000,,,,,DHS 2008
102,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,TOTL,TotalTotalTotal,,BTSX,Both sexes,,TOTL,TotalTotalTotal,,TOTL,TotalTotalTotal,,50,50.00000,,,,,DHS 2008
103,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,55,55.00000,,,,,DHS 2008
104,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,47,47.00000,,,,,DHS 2008
105,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,PHL,Philippines,,TOTL,TotalTotalTotal,,BTSX,Both sexes,,TOTL,TotalTotalTotal,,TOTL,TotalTotalTotal,,64,64.00000,,,,,DHS 2013
106,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,,,,URB,Urban,,,,,79.8,79.80000,,,,,DHS 2017
107,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,,,,RUR,Rural,,,,,59.6,59.60000,,,,,DHS 2017
108,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,PRLM,Primary,,,,,,,,,,,65.7,65.70000,,,,,DHS 2017
109,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,SHLM,Secondary or higher,,,,,,,,,,,68.1,68.10000,,,,,DHS 2017
110,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,TOTL,TotalTotalTotal,,BTSX,Both sexes,,TOTL,TotalTotalTotal,,TOTL,TotalTotalTotal,,67.3,67.30000,,,,,DHS 2017
111,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,60,60.00000,,,,,DHS 2017
112,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,70.8,70.80000,,,,,DHS 2017
113,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,,,,,,,WQ1,Q1 (Poorest),,56.8,56.80000,,,,,DHS 2017
114,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,,,,,,,WQ2,Q2,,54.9,54.90000,,,,,DHS 2017
115,WHS4_106,Children aged < 5 years with pneumonia symptoms taken to a healthcare provider (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4737,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,,2017,2017,,,PHL,Philippines,,,,,,,,,,,WQ3,Q3,,80.4,80.40000,,,,,DHS 2017
116,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,PHL,Philippines,,,,,,,,,,,,,,10.7,10.70000,,,,,Philippine Statistical Yearbook 2017
117,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,2007,2007,,,PHL,Philippines,,,,,,,,,,,,,,10.5,10.50000,,,,,Philippine Statistical Yearbook 2017
118,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,,,,,,,,,,10.4,10.40000,,,,,Philippine Statistical Yearbook 2017
119,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,PHL,Philippines,,,,,,,,,,,,,,10.6,10.60000,,,,,Philippine Statistical Yearbook 2017
120,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,,,,,,,,,,10.6,10.60000,,,,,Philippine Statistical Yearbook 2017
121,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,,,,,,,,,,,,,10.7,10.70000,,,,,Philippine Statistical Yearbook 2017
122,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,,,,,,,,,,,,,10.5,10.50000,,,,,Philippine Statistical Yearbook 2017
123,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,PHL,Philippines,,,,,,,,,,,,,,9.9,9.90000,,,,,Philippine Statistical Yearbook 2017
124,WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,,,,,,,,,,,,,9.9,9.90000,,,,,Philippine Statistical Yearbook 2017
